zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
32548,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32550,Walton County FL,1043.6,974.6,1013.4,975.4,902.2,828.4,909,860.4,790.4,755
32561,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32563,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32564,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32566,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32569,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32570,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32571,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32578,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32579,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32580,Okaloosa County FL,1298.2,1167.8,1181.6,1117.4,1065,1048.2,1029.6,1044.6,963.6,975
32583,Santa Rosa County FL,1114.2,1111.4,986,1042.2,969.2,940.6,942.8,881.6,887.2,937.2
32601,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32603,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32605,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32606,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32607,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32608,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32609,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32615,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32617,Marion County FL,959.8,929,874.8,884.2,819.4,805.2,809.2,827.8,779.2,837
32619,Gilchrist County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32621,Levy County FL,792.8,752.4,748.8,737.8,737,761.8,738.6,726,667.8,641.4
32625,Levy County FL,792.8,752.4,748.8,737.8,737,761.8,738.6,726,667.8,641.4
32626,Levy County FL,792.8,752.4,748.8,737.8,737,761.8,738.6,726,667.8,641.4
32628,Dixie County FL,791.6,758.2,735,692.4,687,717,710.4,698.2,626.8,639.8
32640,Putnam County FL,786.8,763.6,754.4,763.8,661.4,669.6,676.8,650.8,675.8,634.6
32643,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32653,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32656,Clay County FL,1159.8,1066,1032.8,1057,1042.2,1012.8,1017.2,989.8,885.2,962.6
32666,Putnam County FL,786.8,763.6,754.4,763.8,661.4,669.6,676.8,650.8,675.8,634.6
32667,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
